POINT,CL=F,BP.LSE,DATE
189,43.39,213.15,26/08/2020
190,43.04,212.65,27/08/2020
191,42.97,206.45,28/08/2020
192,43.05,209.4,30/08/2020
193,42.61,207.75,31/08/2020
194,42.76,205.95,01/09/2020
195,41.51,199.96,02/09/2020
196,41.37,201.4,03/09/2020
197,39.77,205.5,04/09/2020
198,36.76,195.74,08/09/2020
199,38.05,193.44,09/09/2020
200,37.3,193.46,10/09/2020
201,37.33,196.6,11/09/2020
